deep_id,balance_classes,class_sampling_factors,max_after_balance_size,activation,hidden,epochs,train_samples_per_iteration,target_ratio_comm_to_comp,seed,adaptive_rate,rho,epsilon,rate,rate_annealing,rate_decay,momentum_start,momentum_ramp,momentum_stable,nesterov_accelerated_gradient,input_dropout_ratio,hidden_dropout_ratios,l1,l2,max_w2,initial_weight_distribution,initial_weight_scale,initial_weights,initial_biases,loss,distribution,tweedie_power,quantile_alpha,score_interval,score_training_samples,score_validation_samples,score_duty_cycle,classification_stop,regression_stop,quiet_mode,score_validation_sampling,overwrite_with_best_model,use_all_factor_levels,standardize,variable_importances,fast_mode,force_load_balance,replicate_training_data,single_node_mode,shuffle_training_data,missing_values_handling,sparse,col_major,average_activation,sparsity_beta,max_categorical_features,reproducible,elastic_averaging,elastic_averaging_moving_rate,elastic_averaging_regularization,categorical_encoding,leader_board_model_id,algorithm_algo_id
1,FALSE,,5,Rectifier,"[10, 10, 10]",10.40361322,-2,0.05,5.38458E+18,TRUE,0.99,1.00E-08,0.005,1.00E-06,1,0,1000000,0,TRUE,0,,0,0,3.40E+38,UniformAdaptive,1,,,Automatic,AUTO,1.5,0.5,5,10000,0,0.1,0,1.00E-06,FALSE,Uniform,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MeanImputation,FALSE,FALSE,0,0,2147483647,FALSE,FALSE,0.9,0.001,AUTO,DeepLearning_1_AutoML_20190415_223833,5
2,FALSE,,5,RectifierWithDropout,[500],9.154269297,-2,0.05,6.08063E+18,TRUE,0.9,1.00E-07,0.005,1.00E-06,1,0,1000000,0,TRUE,0.15,[0.2],0,0,3.40E+38,UniformAdaptive,1,,,Automatic,AUTO,1.5,0.5,5,10000,0,0.1,0,1.00E-06,FALSE,Uniform,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MeanImputation,FALSE,FALSE,0,0,2147483647,FALSE,FALSE,0.9,0.001,AUTO,DeepLearning_grid_1_AutoML_20190415_223833_model_1,5
3,FALSE,,5,RectifierWithDropout,"[200, 200, 200]",3.830904306,-2,0.05,-9.21586E+18,TRUE,0.99,1.00E-06,0.005,1.00E-06,1,0,1000000,0,TRUE,0.15,"[0.1, 0.1, 0.1]",0,0,3.40E+38,UniformAdaptive,1,,,Automatic,AUTO,1.5,0.5,5,10000,0,0.1,0,1.00E-06,FALSE,Uniform,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MeanImputation,FALSE,FALSE,0,0,2147483647,FALSE,FALSE,0.9,0.001,AUTO,DeepLearning_grid_1_AutoML_20190415_223833_model_3,5
4,FALSE,,5,RectifierWithDropout,"[500, 500]",0.190362825,-2,0.05,4.4181E+18,TRUE,0.9,1.00E-07,0.005,1.00E-06,1,0,1000000,0,TRUE,0.2,"[0.1, 0.1]",0,0,3.40E+38,UniformAdaptive,1,,,Automatic,AUTO,1.5,0.5,5,10000,0,0.1,0,1.00E-06,FALSE,Uniform,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MeanImputation,FALSE,FALSE,0,0,2147483647,FALSE,FALSE,0.9,0.001,AUTO,DeepLearning_grid_1_AutoML_20190415_223833_model_2,5
5,FALSE,,5,Rectifier,"[10, 10, 10]",10.39632742,-2,0.05,3.4276E+18,TRUE,0.99,1.00E-08,0.005,1.00E-06,1,0,1000000,0,TRUE,0,,0,0,3.40E+38,UniformAdaptive,1,,,Automatic,AUTO,1.5,0.5,5,10000,0,0.1,0,1.00E-06,FALSE,Uniform,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MeanImputation,FALSE,FALSE,0,0,2147483647,FALSE,FALSE,0.9,0.001,AUTO,DeepLearning_1_AutoML_20190418_130009,5
6,FALSE,,5,RectifierWithDropout,[200],10.37391405,-2,0.05,-6.69606E+18,TRUE,0.9,1.00E-09,0.005,1.00E-06,1,0,1000000,0,TRUE,0.2,[0.2],0,0,3.40E+38,UniformAdaptive,1,,,Automatic,AUTO,1.5,0.5,5,10000,0,0.1,0,1.00E-06,FALSE,Uniform,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MeanImputation,FALSE,FALSE,0,0,2147483647,FALSE,FALSE,0.9,0.001,AUTO,DeepLearning_grid_1_AutoML_20190418_130009_model_1,5
7,FALSE,,5,RectifierWithDropout,"[500, 500]",0.168360333,-2,0.05,3.0732E+18,TRUE,0.99,1.00E-07,0.005,1.00E-06,1,0,1000000,0,TRUE,0.2,"[0.3, 0.3]",0,0,3.40E+38,UniformAdaptive,1,,,Automatic,AUTO,1.5,0.5,5,10000,0,0.1,0,1.00E-06,FALSE,Uniform,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MeanImputation,FALSE,FALSE,0,0,2147483647,FALSE,FALSE,0.9,0.001,AUTO,DeepLearning_grid_1_AutoML_20190418_130009_model_2,5
8,FALSE,,5,RectifierWithDropout,"[500, 500, 500]",0.085019383,-2,0.05,-4.92282E+16,TRUE,0.95,1.00E-08,0.005,1.00E-06,1,0,1000000,0,TRUE,0.2,"[0.2, 0.2, 0.2]",0,0,3.40E+38,UniformAdaptive,1,,,Automatic,AUTO,1.5,0.5,5,10000,0,0.1,0,1.00E-06,FALSE,Uniform,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MeanImputation,FALSE,FALSE,0,0,2147483647,FALSE,FALSE,0.9,0.001,AUTO,DeepLearning_grid_1_AutoML_20190418_130009_model_3,5
9,FALSE,,5,RectifierWithDropout,"[50, 50]",74.44795555,-2,0.05,-5.30113E+18,TRUE,0.95,1.00E-06,0.005,1.00E-06,1,0,1000000,0,TRUE,0.15,"[0.3, 0.3]",0,0,3.40E+38,UniformAdaptive,1,,,Automatic,AUTO,1.5,0.5,5,10000,0,0.1,0,1.00E-06,FALSE,Uniform,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MeanImputation,FALSE,FALSE,0,0,2147483647,FALSE,FALSE,0.9,0.001,AUTO,DeepLearning_grid_1_AutoML_20190418_120619_model_2,5
10,FALSE,,5,Rectifier,"[10, 10, 10]",10.40338431,-2,0.05,6.89203E+18,TRUE,0.99,1.00E-08,0.005,1.00E-06,1,0,1000000,0,TRUE,0,,0,0,3.40E+38,UniformAdaptive,1,,,Automatic,AUTO,1.5,0.5,5,10000,0,0.1,0,1.00E-06,FALSE,Uniform,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MeanImputation,FALSE,FALSE,0,0,2147483647,FALSE,FALSE,0.9,0.001,AUTO,DeepLearning_1_AutoML_20190418_120619,5
